Facility Name,State,Measure Name,Number of Discharges,Excess Readmission Ratio
SOUTHEAST HEALTH MEDICAL CENTER,AL,READM-30-CABG-HRRP,137.0,0.9531
SOUTHEAST HEALTH MEDICAL CENTER,AL,READM-30-AMI-HRRP,273.0,0.937
SOUTHEAST HEALTH MEDICAL CENTER,AL,READM-30-COPD-HRRP,122.0,0.9823
SOUTHEAST HEALTH MEDICAL CENTER,AL,READM-30-PN-HRRP,507.0,0.9871
SOUTHEAST HEALTH MEDICAL CENTER,AL,READM-30-HF-HRRP,653.0,1.0233
MARSHALL MEDICAL CENTERS,AL,READM-30-COPD-HRRP,132.0,0.9308
MARSHALL MEDICAL CENTERS,AL,READM-30-HF-HRRP,164.0,1.0087
MARSHALL MEDICAL CENTERS,AL,READM-30-PN-HRRP,292.0,0.8727
NORTH ALABAMA MEDICAL CENTER,AL,READM-30-AMI-HRRP,285.0,0.9195
NORTH ALABAMA MEDICAL CENTER,AL,READM-30-PN-HRRP,679.0,0.9819
NORTH ALABAMA MEDICAL CENTER,AL,READM-30-HF-HRRP,461.0,0.9925
NORTH ALABAMA MEDICAL CENTER,AL,READM-30-COPD-HRRP,174.0,1.052
MIZELL MEMORIAL HOSPITAL,AL,READM-30-PN-HRRP,84.0,1.0345
MIZELL MEMORIAL HOSPITAL,AL,READM-30-HF-HRRP,39.0,1.062
ST. VINCENT'S EAST,AL,READM-30-AMI-HRRP,118.0,0.9697
ST. VINCENT'S EAST,AL,READM-30-CABG-HRRP,63.0,1.1213
ST. VINCENT'S EAST,AL,READM-30-HF-HRRP,268.0,1.0373
ST. VINCENT'S EAST,AL,READM-30-COPD-HRRP,57.0,0.9988
ST. VINCENT'S EAST,AL,READM-30-PN-HRRP,281.0,1.0102
DEKALB REGIONAL MEDICAL CENTER,AL,READM-30-HF-HRRP,98.0,1.084
DEKALB REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,142.0,1.0206
SHELBY BAPTIST MEDICAL CENTER,AL,READM-30-PN-HRRP,216.0,1.0292
SHELBY BAPTIST MEDICAL CENTER,AL,READM-30-HF-HRRP,212.0,1.0053
HELEN KELLER HOSPITAL,AL,READM-30-HF-HRRP,255.0,0.9057
HELEN KELLER HOSPITAL,AL,READM-30-COPD-HRRP,169.0,1.0327
HELEN KELLER HOSPITAL,AL,READM-30-PN-HRRP,235.0,1.0061
BAPTIST MEDICAL CENTER SOUTH,AL,READM-30-HF-HRRP,289.0,1.0589
BAPTIST MEDICAL CENTER SOUTH,AL,READM-30-PN-HRRP,162.0,1.049
BAPTIST MEDICAL CENTER SOUTH,AL,READM-30-COPD-HRRP,64.0,1.0436
BAPTIST MEDICAL CENTER SOUTH,AL,READM-30-AMI-HRRP,186.0,1.0084
JACKSON HOSPITAL & CLINIC INC,AL,READM-30-PN-HRRP,260.0,1.0066
JACKSON HOSPITAL & CLINIC INC,AL,READM-30-COPD-HRRP,87.0,0.9583
JACKSON HOSPITAL & CLINIC INC,AL,READM-30-AMI-HRRP,141.0,1.0203
JACKSON HOSPITAL & CLINIC INC,AL,READM-30-HF-HRRP,321.0,1.0207
THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,READM-30-PN-HRRP,211.0,0.8875
THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,READM-30-HF-HRRP,253.0,1.0273
THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,READM-30-AMI-HRRP,91.0,1.0521
THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,READM-30-HIP-KNEE-HRRP,401.0,0.9746
UNIVERSITY OF ALABAMA HOSPITAL,AL,READM-30-PN-HRRP,343.0,1.0983
UNIVERSITY OF ALABAMA HOSPITAL,AL,READM-30-COPD-HRRP,169.0,0.9689
UNIVERSITY OF ALABAMA HOSPITAL,AL,READM-30-HF-HRRP,638.0,0.9861
CULLMAN REGIONAL MEDICAL CENTER,AL,READM-30-HF-HRRP,352.0,0.9659
CULLMAN REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,441.0,0.9922
CULLMAN REGIONAL MEDICAL CENTER,AL,READM-30-COPD-HRRP,137.0,1.0725
ANDALUSIA HEALTH,AL,READM-30-PN-HRRP,138.0,0.9462
ANDALUSIA HEALTH,AL,READM-30-HF-HRRP,133.0,1.0426
HUNTSVILLE HOSPITAL,AL,READM-30-CABG-HRRP,273.0,0.8637
HUNTSVILLE HOSPITAL,AL,READM-30-AMI-HRRP,567.0,0.8965
HUNTSVILLE HOSPITAL,AL,READM-30-COPD-HRRP,394.0,0.9689
HUNTSVILLE HOSPITAL,AL,READM-30-PN-HRRP,1334.0,0.9224
HUNTSVILLE HOSPITAL,AL,READM-30-HF-HRRP,1218.0,0.997
GADSDEN REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,248.0,1.0159
GADSDEN REGIONAL MEDICAL CENTER,AL,READM-30-HF-HRRP,229.0,0.9563
GADSDEN REGIONAL MEDICAL CENTER,AL,READM-30-CABG-HRRP,47.0,1.1728
GADSDEN REGIONAL MEDICAL CENTER,AL,READM-30-COPD-HRRP,89.0,0.9967
RIVERVIEW REGIONAL MEDICAL CENTER,AL,READM-30-HF-HRRP,275.0,1.106
RIVERVIEW REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,322.0,1.1181
RIVERVIEW REGIONAL MEDICAL CENTER,AL,READM-30-COPD-HRRP,99.0,1.0628
